Month,Insurer,Premium_Rs_Crore,No_of_Policies
2023-12,Kotak Mahindra Life,815.45,44567
2024-01,Kotak Mahindra Life,748.84,44390
2024-02,Kotak Mahindra Life,785.01,41087
2024-03,Kotak Mahindra Life,1233.33,64625
2024-04,Kotak Mahindra Life,538.74,32249
2024-05,Kotak Mahindra Life,750.41,47211
2024-06,Kotak Mahindra Life,697.11,35670
2024-07,Kotak Mahindra Life,896.02,42196
2024-08,Kotak Mahindra Life,834.72,47251
2024-09,Kotak Mahindra Life,968.43,50957
2024-10,Kotak Mahindra Life,914.75,50583
2024-11,Kotak Mahindra Life,747.42,40963
2024-12,Kotak Mahindra Life,980.35,66005
2025-01,Kotak Mahindra Life,825.18,40014
2025-02,Kotak Mahindra Life,925.48,52081
2025-03,Kotak Mahindra Life,1410.44,76045
2025-04,Kotak Mahindra Life,651.99,40825
2025-05,Kotak Mahindra Life,799.27,48731
2025-06,Kotak Mahindra Life,908.08,49627
2025-07,Kotak Mahindra Life,888.42,48719
2025-08,Kotak Mahindra Life,941.76,52599
2025-09,Kotak Mahindra Life,935.44,51707
2025-10,Kotak Mahindra Life,947.09,50539
2025-11,Kotak Mahindra Life,888.34,47350
2025-12,Kotak Mahindra Life,974.69,54808
2026-01,Kotak Mahindra Life,932.13,63318
2026-02,Kotak Mahindra Life,1122.48,60365
2026-03,Kotak Mahindra Life,1454.79,77847
2026-04,Kotak Mahindra Life,735.65,40019
2026-05,Kotak Mahindra Life,822.3,49908
2026-06,Kotak Mahindra Life,1002.88,52003
2026-07,Kotak Mahindra Life,1002.41,53828
2021-04,Tata AIA Life,385.38,25270
2021-05,Tata AIA Life,543.02,39992
2021-06,Tata AIA Life,500.69,33262
2021-07,Tata AIA Life,524.23,30903
2021-08,Tata AIA Life,587.3,41900
2021-09,Tata AIA Life,543.51,40340
2021-10,Tata AIA Life,615.68,35099
2021-11,Tata AIA Life,572.64,35083
2021-12,Tata AIA Life,676.9,37200
2022-01,Tata AIA Life,513.46,35569
2022-02,Tata AIA Life,650.58,41372
2022-03,Tata AIA Life,980.43,64376
2022-04,Tata AIA Life,501.57,29306
2022-05,Tata AIA Life,499.63,31706
2022-06,Tata AIA Life,559.7,39145
2022-07,Tata AIA Life,578.31,38059
2022-08,Tata AIA Life,700.5,41477
2022-09,Tata AIA Life,638.23,46695
2022-10,Tata AIA Life,691.02,41902
2022-11,Tata AIA Life,622.45,36592
2022-12,Tata AIA Life,718.63,46385
2023-01,Tata AIA Life,657.76,38059
2023-02,Tata AIA Life,684.26,44208
2023-03,Tata AIA Life,1011.65,69884
2023-04,Tata AIA Life,564.88,35194
2023-05,Tata AIA Life,642.36,41927
2023-06,Tata AIA Life,622.67,35460
2023-07,Tata AIA Life,793.3,60725
2023-08,Tata AIA Life,763.54,41133
2023-09,Tata AIA Life,791.99,51348
2023-10,Tata AIA Life,774.9,50633
2023-11,Tata AIA Life,781.74,48393
2023-12,Tata AIA Life,739.28,47025
2024-01,Tata AIA Life,720.12,41885
2024-02,Tata AIA Life,825.4,47773
2024-03,Tata AIA Life,1354.64,116150
2024-04,Tata AIA Life,611.01,41398
2024-05,Tata AIA Life,703.2,41833
2024-06,Tata AIA Life,732.55,41602
2024-07,Tata AIA Life,797.04,48729
2024-08,Tata AIA Life,943.33,59430
2024-09,Tata AIA Life,897.54,65173
2024-10,Tata AIA Life,872.71,57104
2024-11,Tata AIA Life,940.85,53077
2024-12,Tata AIA Life,921.69,61031
2025-01,Tata AIA Life,903.35,54601
2025-02,Tata AIA Life,897.11,50687
2025-03,Tata AIA Life,1507.4,114045
2025-04,Tata AIA Life,675.73,46562
2025-05,Tata AIA Life,799.09,51548
2025-06,Tata AIA Life,957.11,53919
2025-07,Tata AIA Life,1023.51,70722
2025-08,Tata AIA Life,1012.34,58255
2025-09,Tata AIA Life,981.46,65324
2025-10,Tata AIA Life,942.18,58909
2025-11,Tata AIA Life,1035.05,71803
2025-12,Tata AIA Life,1176.0,71659
2026-01,Tata AIA Life,999.99,66379
2026-02,Tata AIA Life,1079.83,68401
2026-03,Tata AIA Life,1754.64,105376
2026-04,Tata AIA Life,751.16,56764
2026-05,Tata AIA Life,944.26,54741
2026-06,Tata AIA Life,1036.7,65188
2026-07,Tata AIA Life,1200.09,68297
2021-04,PNB MetLife,215.2,17670
2021-05,PNB MetLife,279.86,27190
2021-06,PNB MetLife,320.17,26993
2021-07,PNB MetLife,359.69,29396
2021-08,PNB MetLife,346.38,29138
2021-09,PNB MetLife,399.83,33460
2021-10,PNB MetLife,367.66,33498
2021-11,PNB MetLife,363.14,30329
2021-12,PNB MetLife,359.69,29125
2022-01,PNB MetLife,343.44,30862
2022-02,PNB MetLife,381.62,38332
2022-03,PNB MetLife,559.5,49644
2022-04,PNB MetLife,201.67,14445
2022-05,PNB MetLife,336.65,29427
2022-06,PNB MetLife,377.89,33683
2022-07,PNB MetLife,392.11,30861
2022-08,PNB MetLife,351.98,28197
2022-09,PNB MetLife,414.17,36411
2022-10,PNB MetLife,395.86,37458
2022-11,PNB MetLife,376.96,27647
2022-12,PNB MetLife,364.49,30184
2023-01,PNB MetLife,378.86,30637
2023-02,PNB MetLife,373.8,30002
2023-03,PNB MetLife,609.87,54533
2023-04,PNB MetLife,293.03,27500
2023-05,PNB MetLife,317.96,25586
2023-06,PNB MetLife,489.27,36522
2023-07,PNB MetLife,311.39,25303
2023-08,PNB MetLife,398.74,32149
2023-09,PNB MetLife,420.99,37546
2023-10,PNB MetLife,466.6,40167
2023-11,PNB MetLife,355.64,26542
2023-12,PNB MetLife,399.87,30265
2024-01,PNB MetLife,392.06,35012
2024-02,PNB MetLife,401.41,32964
2024-03,PNB MetLife,734.65,53192
2024-04,PNB MetLife,327.68,26070
2024-05,PNB MetLife,366.36,27628
2024-06,PNB MetLife,407.74,35256
2024-07,PNB MetLife,460.88,36419
2024-08,PNB MetLife,400.33,33886
2024-09,PNB MetLife,439.65,37037
2024-10,PNB MetLife,493.47,39146
2024-11,PNB MetLife,428.55,34137
2024-12,PNB MetLife,505.48,40248
2025-01,PNB MetLife,443.57,37886
2025-02,PNB MetLife,494.83,36704
2025-03,PNB MetLife,485.44,44648
2025-04,PNB MetLife,363.76,26732
2025-05,PNB MetLife,378.44,35199
2025-06,PNB MetLife,369.0,32851
2025-07,PNB MetLife,492.06,36800
2025-08,PNB MetLife,452.29,40966
2025-09,PNB MetLife,486.01,40560
2025-10,PNB MetLife,456.35,41169
2025-11,PNB MetLife,451.58,36907
2025-12,PNB MetLife,489.42,38581
2026-01,PNB MetLife,472.1,33837
2026-02,PNB MetLife,506.25,44797
2026-03,PNB MetLife,792.33,71096
2026-04,PNB MetLife,378.04,32482
2026-05,PNB MetLife,416.99,29239
2026-06,PNB MetLife,484.26,42760
2026-07,PNB MetLife,461.23,42046
2021-04,Aditya Birla Sun Life,342.22,24769
2021-05,Aditya Birla Sun Life,437.68,31175
2021-06,Aditya Birla Sun Life,511.13,44672
2021-07,Aditya Birla Sun Life,577.52,38365
2021-08,Aditya Birla Sun Life,497.12,32516
2021-09,Aditya Birla Sun Life,507.48,34456
2021-10,Aditya Birla Sun Life,528.52,34648
2021-11,Aditya Birla Sun Life,527.79,39899
2021-12,Aditya Birla Sun Life,558.46,39959
2022-01,Aditya Birla Sun Life,427.91,30654
2022-02,Aditya Birla Sun Life,576.48,40291
2022-03,Aditya Birla Sun Life,789.69,54406
2022-04,Aditya Birla Sun Life,394.43,26803
2022-05,Aditya Birla Sun Life,517.78,31841
2022-06,Aditya Birla Sun Life,484.81,37386
2022-07,Aditya Birla Sun Life,539.55,35143
2022-08,Aditya Birla Sun Life,522.84,37969
2022-09,Aditya Birla Sun Life,574.41,42782
2022-10,Aditya Birla Sun Life,624.62,47291
2022-11,Aditya Birla Sun Life,578.73,46470
2022-12,Aditya Birla Sun Life,607.86,40331
2023-01,Aditya Birla Sun Life,495.44,34796
2023-02,Aditya Birla Sun Life,601.03,43885
2023-03,Aditya Birla Sun Life,1053.71,74180
2023-04,Aditya Birla Sun Life,462.52,35279
2023-05,Aditya Birla Sun Life,539.2,40551
2023-06,Aditya Birla Sun Life,542.99,35537
2023-07,Aditya Birla Sun Life,568.47,40738
2023-08,Aditya Birla Sun Life,613.15,46680
2023-09,Aditya Birla Sun Life,626.23,49732
2023-10,Aditya Birla Sun Life,584.83,45442
2023-11,Aditya Birla Sun Life,603.63,44647
2023-12,Aditya Birla Sun Life,671.61,45317
2024-01,Aditya Birla Sun Life,608.79,45550
2024-02,Aditya Birla Sun Life,564.57,39811
2024-03,Aditya Birla Sun Life,1011.03,74970
2024-04,Aditya Birla Sun Life,473.18,32696
2024-05,Aditya Birla Sun Life,516.37,31763
2024-06,Aditya Birla Sun Life,653.83,44499
2024-07,Aditya Birla Sun Life,642.2,44805
2024-08,Aditya Birla Sun Life,671.46,52161
2024-09,Aditya Birla Sun Life,741.44,54612
2024-10,Aditya Birla Sun Life,664.95,48238
2024-11,Aditya Birla Sun Life,703.44,52407
2024-12,Aditya Birla Sun Life,749.62,56216
2025-01,Aditya Birla Sun Life,646.25,43559
2025-02,Aditya Birla Sun Life,617.96,49832
2025-03,Aditya Birla Sun Life,1024.12,74972
2025-04,Aditya Birla Sun Life,631.49,40529
2025-05,Aditya Birla Sun Life,616.28,43359
2025-06,Aditya Birla Sun Life,662.44,44636
2025-07,Aditya Birla Sun Life,564.85,38453
2025-08,Aditya Birla Sun Life,754.68,46288
2025-09,Aditya Birla Sun Life,869.55,59575
2025-10,Aditya Birla Sun Life,734.45,53671
2025-11,Aditya Birla Sun Life,633.14,43390
2025-12,Aditya Birla Sun Life,815.78,51923
2026-01,Aditya Birla Sun Life,642.89,51128
2026-02,Aditya Birla Sun Life,768.11,46486
2026-03,Aditya Birla Sun Life,1144.26,94528
2026-04,Aditya Birla Sun Life,565.65,36351
2026-05,Aditya Birla Sun Life,626.69,47481
2026-06,Aditya Birla Sun Life,749.5,47095
2026-07,Aditya Birla Sun Life,761.64,53373
2021-04,Star Union Dai-ichi,120.89,12196
2021-05,Star Union Dai-ichi,150.53,15492
2021-06,Star Union Dai-ichi,187.51,19166
